event_id,category_id,name,time
pnbgflywlbnb,22,"FREE! The Basics of Reiki, Chakra Balancing & Energy Healing (Reiki Share)",2017-08-10 23:30:00
242351922,22,Intro to MCKS Pranic Healing,2017-08-10 23:30:00
241916307,22,Introduction to the Mystical Kabbalah (FREE),2017-08-10 00:00:00
hctshlywlbkb,22,"Reiki & Sound with Robin - Franklin, TN",2017-08-07 23:30:00
241310019,22,Reiki 2 - Usui Shiki Ryoho - 4 LMT CEUs - Usui Method of Natural Healing,2017-08-06 18:00:00
242175137,22,Gathering With Archangel Michael with Trance Channel Jeff Fasano,2017-08-05 16:30:00
242164432,22,Astrology of the Great American Eclipse!,2017-08-05 15:00:00
242092957,22,Connecting with the Angels to Experience Your Angelic Essence,2017-08-05 00:00:00
pnbgflywlbfb,22,"FREE! The Basics of Reiki, Chakra Balancing & Energy Healing (Reiki Share)",2017-08-03 23:30:00
hctshlywkbpc,22,"Reiki & Sound with Robin - Franklin, TN",2017-07-31 23:30:00
241586974,22,UFOs and Their Spiritual Mission,2017-07-29 18:00:00
241920117,22,Level 2 Reiki Attunement & Certification with Woody & Jasmine,2017-07-29 14:00:00
pnbgflywkbkc,22,"FREE! The Basics of Reiki, Chakra Balancing & Energy Healing (Reiki Share)",2017-07-27 23:30:00
241392167,22,Introduction to Reading the Tarot,2017-07-26 23:30:00
hctshlywkbgc,22,"Reiki & Sound with Robin - Franklin, TN",2017-07-24 23:30:00
241847123,22,NEW MOON SOUND HEALING JOURNEY,2017-07-23 16:00:00
241768476,22,Sacred Sound Immersion,2017-07-22 23:30:00
240807213,22,Usui Tibetan Reiki Levels 1&2 Certification Class & Attunements - 12 LMT CEU's,2017-07-22 15:00:00
pnbgflywkbbc,22,"FREE! The Basics of Reiki, Chakra Balancing & Energy Healing (Reiki Share)",2017-07-20 23:30:00
hctshlywkbwb,22,"Reiki & Sound with Robin - Franklin, TN",2017-07-17 23:30:00
241392139,22,Reconnective Healing Experiential Introduction w/ Jeff Crawford,2017-07-16 18:00:00
cxchpmywkbtb,22,Sacred Sound Immersion Meditation,2017-07-15 23:30:00
cpqkpmywkbtb,22,Spirit Cafe: The Ascension with L'Vereese Britten,2017-07-15 23:00:00
241135902,22,Mediumship Group Reading with Jennie Fuscaldo and Suzie Kerr Wright,2017-07-15 00:00:00
pnbgflywkbrb,22,"FREE! The Basics of Reiki, Chakra Balancing & Energy Healing (Reiki Share)",2017-07-13 23:30:00
241236282,22,Pyramids Of The World: The Undiscovered Power (FREE),2017-07-13 00:00:00
241177556,22,July Full Moon Sound Healing Journey,2017-07-09 00:00:00
241118875,22,Great American Eclipse: Point of No Return!,2017-07-08 21:30:00
241092034,22,Living Your Truth--A 5 week Virtual Class,2017-07-07 01:00:00
pnbgflywkbjb,22,"FREE! The Basics of Reiki, Chakra Balancing & Energy Healing (Reiki Share)",2017-07-06 23:30:00
hctshlywkbfb,22,"Reiki & Sound with Robin - Franklin, TN",2017-07-03 23:30:00
241065420,22,Free Yoga & Farmers Market Monday Nights,2017-07-03 21:00:00
241203377,22,"Gaia's Tribe Meetup: Let's create a clean, healthy Earth with our healing light!",2017-07-02 20:00:00
241081468,22,"Co-Create Your Fate ~ What you resist, persists!",2017-07-01 22:00:00
